Kennel ID,Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,geopoint,intake_duration,is_current_month,outcome_is_dead,outcome_is_current,outcome_is_other,outcome_is_alive,was_outcome_alive
302857,A623574,*ELBIE,CAT,GRAY,NULL,Spayed,21/03/2017,21/03/2019,NORMAL,STRAY,FIELD,NULL,19/04/2019,"00 BLK E 56TH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,CATPAWS,33.85744,-118.197398,Alive on Intake,"33.85744, -118.197398",29,FALSE,FALSE,FALSE,FALSE,TRUE,1
307380,A604840,GOLIATH,DOG,TAN,WHITE,Neutered,15/03/2015,04/08/2019,NORMAL,STRAY,FIELD,NULL,11/08/2019,"00 BLK E 68TH ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,FRE RID HM,33.8776071,-118.2034825,Alive on Intake,"33.8776071, -118.2034825",7,FALSE,FALSE,FALSE,FALSE,TRUE,1
289260,A597463,NULL,CAT,GRAY,NULL,Unknown,21/08/2017,21/09/2017,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,23/09/2017,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,"33.8801147, -118.20443",2,FALSE,FALSE,FALSE,FALSE,TRUE,1
289261,A597464,NULL,CAT,BLACK,NULL,Unknown,21/08/2017,21/09/2017,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,23/09/2017,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,"33.8801147, -118.20443",2,FALSE,FALSE,FALSE,FALSE,TRUE,1
289264,A597468,NULL,CAT,GRAY TABBY,NULL,Unknown,21/08/2017,21/09/2017,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,23/09/2017,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,"33.8801147, -118.20443",2,FALSE,FALSE,FALSE,FALSE,TRUE,1
379953,A742623,*SAMSON,CAT,WHITE,BLACK,Male,28/04/2025,12/06/2025,UNDER AGE/WEIGHT,STRAY,OTC,NULL,03/07/2025,"00 BLK E ELLIS ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,SPCALA,33.8567361,-118.1974426,Alive on Intake,"33.8567361, -118.1974426",21,FALSE,FALSE,FALSE,FALSE,TRUE,1
286931,A589439,*EGG YOLK,CAT,ORANGE,WHITE,Neutered,29/04/2015,12/07/2017,FERAL,STRAY,FIELD,NULL,13/07/2017,"00 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO RESCUE,STRAYCATAL,33.8542837,-118.1964921,Alive on Intake,"33.8542837, -118.1964921",1,FALSE,FALSE,FALSE,FALSE,TRUE,1
373683,A740074,*SIMI,CAT,SEAL PT,NULL,Spayed,29/04/2022,29/04/2025,INJURED  MODERATE,STRAY,OTC,NULL,15/06/2025,"00 BLK PLYMOUTH ST, LONG BEACH CA",LONG BEACH,COMMUNITY CAT,FRIENDLY,33.8532976,-118.19632,Alive on Intake,"33.8532976, -118.19632",47,FALSE,FALSE,FALSE,FALSE,TRUE,1
368553,A734321,SOPHIE,DOG,CREAM,NULL,Spayed,15/12/2007,15/12/2024,AGED,OWNER SURRENDER,OTC,NULL,21/12/2024,00 BLK PROSPECT AVE LONG BEACH CA 90803,LONG BEACH,RESCUE,PRESENTMMT,33.758137,-118.142634,Alive on Intake,"33.758137, -118.142634",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
317453,A647075,NULL,CAT,TORTIE,NULL,Unknown,10/08/2020,12/08/2020,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,13/08/2020,"00 BLK ROSWELL AVE, LONG BEACH, CA 90803",LONG BEACH,RESCUE,LITTLEPAWS,33.7590991,-118.1447482,Alive on Intake,"33.7590991, -118.1447482",1,FALSE,FALSE,FALSE,FALSE,TRUE,1
298749,A614537,NULL,CAT,BRN TABBY,NULL,Unknown,12/08/2018,12/09/2018,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,12/09/2018,"00 BLK W 16TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7873122,-118.2086997,Alive on Intake,"33.7873122, -118.2086997",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
298751,A614539,NULL,CAT,BRN TABBY,NULL,Unknown,12/08/2018,12/09/2018,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,12/09/2018,"00 BLK W 16TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7873122,-118.2086997,Alive on Intake,"33.7873122, -118.2086997",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
301274,A619621,NULL,BIRD,BROWN,RED,Male,01/01/2018,01/01/2019,NORMAL,WILDLIFE,FIELD,NULL,02/01/2019,"00 BLK W 52ND ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,WARDSMTN,33.8504599,-118.1952821,Alive on Intake,"33.8504599, -118.1952821",1,FALSE,FALSE,FALSE,FALSE,TRUE,1
373041,A738981,NULL,CAT,GRAY TABBY,NULL,Male,17/02/2025,04/04/2025,UNDER AGE/WEIGHT,STRAY,OTC,NULL,06/04/2025,"00 BLK W 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8524273,-118.1959944,Alive on Intake,"33.8524273, -118.1959944",2,FALSE,FALSE,FALSE,FALSE,TRUE,1
389876,A748966,*LEIA,CAT,CALICO DIL,,Spayed,01/08/2025,12/09/2025,NORMAL,STRAY,OTC,,23/10/2025,"00 BLK W 53RD ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8524273,-118.1959944,Alive on Intake,"33.8524273, -118.1959944",41,FALSE,FALSE,FALSE,FALSE,TRUE,1
373108,A738335,ENZO,CAT,BLACK,NULL,Neutered,20/03/2023,06/04/2025,NORMAL,OWNER SURRENDER,OTC,MOVE,18/04/2025,"00 BLK W ARBOR ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8439372,-118.1930131,Alive on Intake,"33.8439372, -118.1930131",12,FALSE,FALSE,FALSE,FALSE,TRUE,1
373525,A739787,NULL,OTHER,BLACK,NULL,Female,23/04/2024,23/04/2025,ILL MILD,WILDLIFE,OTC,NULL,23/04/2025,"00 BLK W BORT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8705366,-118.2017126,Alive on Intake,"33.8705366, -118.2017126",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
373528,A739790,NULL,OTHER,PINK,NULL,Unknown,,23/04/2025,ILL MILD,WILDLIFE,OTC,NULL,23/04/2025,"00 BLK W BORT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.8705366,-118.2017126,Alive on Intake,"33.8705366, -118.2017126",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
353172,A697044,CINNAMON,DOG,BROWN,BLACK,Spayed,02/06/2022,03/01/2024,NORMAL,OWNER SURRENDER,OTC,NULL,06/01/2024,00 BLK WELCOME LANE SEAL BEACH CA 90740,OUT OF AREA,RESCUE,NULL,33.747547,-118.1110343,Alive on Intake,"33.747547, -118.1110343",3,FALSE,FALSE,FALSE,FALSE,TRUE,1
373260,A739340,NULL,CAT,ORG TABBY,NULL,Unknown,21/03/2025,12/04/2025,UNDER AGE/WEIGHT,STRAY,OTC,NULL,12/04/2025,"00 BLOCK BORT ST, LONG BEACH CA",LONG BEACH,RESCUE,LITTLELION,33.8705366,-118.2017126,Alive on Intake,"33.8705366, -118.2017126",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
350887,A706435,LORELEI,CAT,BRN TABBY,NULL,Spayed,07/09/2021,07/09/2023,ILL MILD,STRAY,OTC,NULL,10/12/2023,"00 BLOCK E MARKET ST, LONG BEACH CA",LONG BEACH,ADOPTION,NULL,33.8542837,-118.1964921,Alive on Intake,"33.8542837, -118.1964921",94,FALSE,FALSE,FALSE,FALSE,TRUE,1
350890,A706438,*CRICKET,CAT,BLACK,NULL,Male,04/08/2023,07/09/2023,NORMAL,STRAY,OTC,NULL,08/10/2023,"00 BLOCK E MARKET ST, LONG BEACH CA",LONG BEACH,ADOPTION,NULL,33.8542837,-118.1964921,Alive on Intake,"33.8542837, -118.1964921",31,FALSE,FALSE,FALSE,FALSE,TRUE,1
381329,A743667,NULL,CAT,BLACK,WHITE,Spayed,25/06/2023,25/06/2025,NORMAL,STRAY,OTC,NULL,26/07/2025,"00 BLOCK ELLIS ST, LONG BEACH CA",LONG BEACH,RESCUE,LITTLELION,33.8567361,-118.1974426,Alive on Intake,"33.8567361, -118.1974426",31,FALSE,FALSE,FALSE,FALSE,TRUE,1
381331,A743673,NULL,CAT,BLACK,WHITE,Male,03/06/2025,25/06/2025,UNDER AGE/WEIGHT,STRAY,OTC,NULL,26/07/2025,"00 BLOCK ELLIS ST, LONG BEACH CA",LONG BEACH,RESCUE,LITTLELION,33.8567361,-118.1974426,Alive on Intake,"33.8567361, -118.1974426",31,FALSE,FALSE,FALSE,FALSE,TRUE,1
384623,A746729,*TAMATHA,CAT,BLACK,,Spayed,06/06/2025,06/08/2025,UNDER AGE/WEIGHT,STRAY,OTC,,08/11/2025,"00 BLOCK ESPERANZA AVE, LONG BEACH, 90802",LONG BEACH,RESCUE,KITTYBUNGA,33.7656395,-118.1753949,Alive on Intake,"33.7656395, -118.1753949",94,FALSE,FALSE,FALSE,FALSE,TRUE,1
384624,A746730,*VOID,CAT,BLACK,,Neutered,06/06/2025,06/08/2025,NORMAL,STRAY,OTC,,08/11/2025,"00 BLOCK ESPERANZA AVE, LONG BEACH, 90802",LONG BEACH,RESCUE,KITTYBUNGA,33.7656395,-118.1753949,Alive on Intake,"33.7656395, -118.1753949",94,FALSE,FALSE,FALSE,FALSE,TRUE,1
295382,A608402,NULL,WILD,GRAY,NULL,Female,,26/05/2018,ILL MILD,WILDLIFE,FIELD,NULL,26/05/2018,"00 BLOCK LAGUNA PL, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7506254,-118.127669,Alive on Intake,"33.7506254, -118.127669",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
362143,A727456,VENUS,GUINEA PIG,WHITE,CALICO,Female,25/06/2024,30/08/2024,NORMAL,OWNER SURRENDER,OTC,NULL,05/09/2024,"00 BLOCK VIRGIL WALK,,LONG BEACH CA",LONG BEACH,ADOPTION,PFE/PAWSHP,33.751838,-118.1227473,Alive on Intake,"33.75183800000001, -118.1227473",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
362144,A727457,APHRODITE,GUINEA PIG,BLACK,CALICO,Female,25/06/2024,30/08/2024,NORMAL,OWNER SURRENDER,OTC,NULL,05/09/2024,"00 BLOCK VIRGIL WALK,,LONG BEACH CA",LONG BEACH,ADOPTION,PFE/PAWSHP,33.751838,-118.1227473,Alive on Intake,"33.75183800000001, -118.1227473",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
356147,A718171,*HANLEY,DOG,WHITE,GRAY,Neutered,06/04/2023,06/04/2024,NORMAL,STRAY,OTC,NULL,12/04/2024,"00 BLOCK W 51ST ST, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.8487953,-118.1946447,Alive on Intake,"33.8487953, -118.1946447",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
368845,A734824,*WINDSOR,DOG,TAN,NULL,Male,28/12/2019,28/12/2024,INJURED  SEVERE,STRAY,FIELD,NULL,05/01/2025,"00 BLOCK W 51ST, LONG BEACH CA 90805",LONG BEACH,RESCUE,SPARKYGANG,33.8488027,-118.1946758,Alive on Intake,"33.8488027, -118.1946758",8,FALSE,FALSE,FALSE,FALSE,TRUE,1
393600,A750568,*JOCELYN,DOG,BLACK,TAN,Spayed,09/04/2025,09/10/2025,NORMAL,OWNER SURRENDER,OTC,OWNER DIED,26/10/2025,"00 BLOCK W BORT ST, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.8705366,-118.2017126,Alive on Intake,"33.8705366, -118.2017126",17,FALSE,FALSE,FALSE,FALSE,TRUE,1
343804,A697542,*CHUNK,CAT,GRAY TABBY,WHITE,Neutered,27/04/2021,27/04/2023,INJURED  MILD,STRAY,OTC,NULL,06/12/2023,"00 BLOCK W DAMERON ST, LONG BEACH CA",LONG BEACH,ADOPTION,PFE/PAWSHP,33.8666531,-118.2017752,Alive on Intake,"33.8666531, -118.2017752",223,FALSE,FALSE,FALSE,FALSE,TRUE,1
342587,A694729,SQUISHIE,DOG,TAN,WHITE,Female,16/03/2022,16/03/2023,NORMAL,OWNER SURRENDER,FIELD,NULL,16/03/2023,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,"33.846061, -118.1936055",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
342598,A694740,DIANA ROSS,DOG,TRICOLOR,NULL,Female,01/12/2022,16/03/2023,NORMAL,OWNER SURRENDER,FIELD,NULL,16/03/2023,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,"33.846061, -118.1936055",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
342599,A694741,FAT BOY,DOG,BLACK,BROWN,Male,01/12/2022,16/03/2023,NORMAL,OWNER SURRENDER,FIELD,NULL,16/03/2023,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,"33.846061, -118.1936055",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
342602,A694745,NULL,DOG,BLACK,WHITE,Unknown,15/03/2023,16/03/2023,NORMAL,OWNER SURRENDER,FIELD,NULL,24/03/2023,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,RESCUE,PRCLSSPETS,33.846061,-118.1936055,Alive on Intake,"33.846061, -118.1936055",8,FALSE,FALSE,FALSE,FALSE,TRUE,1
342606,A694749,NULL,DOG,BLACK,BROWN,Unknown,15/03/2023,16/03/2023,NORMAL,OWNER SURRENDER,FIELD,NULL,24/03/2023,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,RESCUE,PRCLSSPETS,33.846061,-118.1936055,Alive on Intake,"33.846061, -118.1936055",8,FALSE,FALSE,FALSE,FALSE,TRUE,1
342585,A694726,PUNKIN,DOG,BLACK,BROWN,Female,16/03/2020,16/03/2023,NORMAL,OWNER SURRENDER,FIELD,NULL,24/03/2023,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,RESCUE,PRCLSSPETS,33.846061,-118.1936055,Alive on Intake,"33.846061, -118.1936055",8,FALSE,FALSE,FALSE,FALSE,TRUE,1
360053,A723857,JAMES BOND,DOG,BLACK,NULL,Male,03/07/2012,17/07/2024,ILL SEVERE,OWNER SURRENDER,OTC,ILL,17/07/2024,00 S ATLANTIC AVE LONG BEACH CA 90802,LONG BEACH,EUTHANASIA,ILL SEVERE,33.7664319,-118.1850452,Alive on Intake,"33.7664319, -118.1850452",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
307106,A630655,NULL,DOG,BLACK,WHITE,Male,28/01/2019,26/07/2019,NORMAL,STRAY,OTC,NULL,01/08/2019,"00 W 52ND ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8504599,-118.1952821,Alive on Intake,"33.8504599, -118.1952821",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
316384,A644597,NULL,BIRD,BROWN,YELLOW,Unknown,,29/06/2020,UNDER AGE/WEIGHT,WILDLIFE,FIELD,NULL,29/06/2020,"000 CLAREMORE AVE, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,OTHER SANC,33.8116127,-118.0781468,Alive on Intake,"33.8116127, -118.0781468",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
302533,A622921,NULL,OTHER,GRAY,NULL,Unknown,,09/03/2019,ILL SEVERE,WILDLIFE,FIELD,NULL,09/03/2019,"1 BLK 39TH PL, LONG BEACH, CA 90803",LONG BEACH,RESCUE,MMR,33.760205,-118.1477682,Alive on Intake,"33.760205, -118.1477682",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
294798,A607259,NULL,WILD,GRAY,NULL,Unknown,,06/05/2018,UNDER AGE/WEIGHT,WILDLIFE,FIELD,NULL,06/05/2018,"1 BLK BELMONT AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.759484,-118.1453675,Alive on Intake,"33.759484, -118.1453675",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
288641,A596337,NULL,CAT,WHITE,BROWN,Female,01/08/2017,01/09/2017,NORMAL,STRAY,FIELD,NULL,07/09/2017,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,"33.7670803, -118.1948981",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
288642,A596338,NULL,CAT,GRAY,NULL,Male,01/08/2017,01/09/2017,NORMAL,STRAY,FIELD,NULL,07/09/2017,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,"33.7670803, -118.1948981",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
349914,A704157,NULL,BIRD,BROWN,WHITE,Unknown,,03/08/2023,INJURED  SEVERE,WILDLIFE,FIELD,NULL,03/08/2023,1 BLK E 1ST PL,LONG BEACH,RESCUE,IBR,33.7668208,-118.1784905,Alive on Intake,"33.7668208, -118.1784905",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
292993,A604330,NULL,CAT,BROWN,NULL,Unknown,,01/03/2018,ILL SEVERE,STRAY,FIELD,NULL,01/03/2018,"1 BLK E 53RD ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8523843,-118.195835,Alive on Intake,"33.8523843, -118.195835",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
294962,A607495,SPARKY LOVE,DOG,BROWN,TAN,Neutered,11/05/2016,09/06/2019,NORMAL,STRAY,FIELD,NULL,28/06/2019,"1 BLK W 49TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,33.8448381,-118.1942559,Alive on Intake,"33.8448381, -118.1942559",19,FALSE,FALSE,FALSE,FALSE,TRUE,1
286369,A592440,NULL,CAT,BRN TABBY,NULL,Unknown,25/05/2017,25/06/2017,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,25/06/2017,"1 BLK W TRAFFORD ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8685157,-118.2012518,Alive on Intake,"33.8685157, -118.2012518",0,FALSE,TRUE,FALSE,FALSE,FALSE,0
396292,A752155,11,DOG,GRAY,WHITE,Unknown,03/11/2025,06/11/2025,UNDER AGE/WEIGHT,OWNER SURRENDER,OTC,TOO MANY,07/11/2025,1 GOLDEN SHORE LONG BEACH CA 90802,LONG BEACH,DIED,IN KENNEL,33.766904,-118.202343,Alive on Intake,"33.766904, -118.202343",1,TRUE,TRUE,FALSE,FALSE,FALSE,0
396293,A752156,12,DOG,GRAY,WHITE,Unknown,03/11/2025,06/11/2025,UNDER AGE/WEIGHT,OWNER SURRENDER,OTC,TOO MANY,07/11/2025,1 GOLDEN SHORE LONG BEACH CA 90802,LONG BEACH,DIED,IN KENNEL,33.766904,-118.202343,Alive on Intake,"33.766904, -118.202343",1,TRUE,TRUE,FALSE,FALSE,FALSE,0
396286,A752149,5,DOG,GRAY,WHITE,Unknown,03/11/2025,06/11/2025,UNDER AGE/WEIGHT,OWNER SURRENDER,OTC,TOO MANY,09/11/2025,1 GOLDEN SHORE LONG BEACH CA 90802,LONG BEACH,RESCUE,DOGBONEZ,33.766904,-118.202343,Alive on Intake,"33.766904, -118.202343",3,TRUE,FALSE,FALSE,FALSE,TRUE,1
396289,A752152,8,DOG,GRAY,WHITE,Unknown,03/11/2025,06/11/2025,UNDER AGE/WEIGHT,OWNER SURRENDER,OTC,TOO MANY,09/11/2025,1 GOLDEN SHORE LONG BEACH CA 90802,LONG BEACH,RESCUE,DOGBONEZ,33.766904,-118.202343,Alive on Intake,"33.766904, -118.202343",3,TRUE,FALSE,FALSE,FALSE,TRUE,1
396290,A752153,9,DOG,GRAY,WHITE,Unknown,03/11/2025,06/11/2025,UNDER AGE/WEIGHT,OWNER SURRENDER,OTC,TOO MANY,09/11/2025,1 GOLDEN SHORE LONG BEACH CA 90802,LONG BEACH,RESCUE,DOGBONEZ,33.766904,-118.202343,Alive on Intake,"33.766904, -118.202343",3,TRUE,FALSE,FALSE,FALSE,TRUE,1
